"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_ID","GeneName","PANTHER_Family_Subfamily","PANTHER_Protein_Class","NA"
"1","Arhgap11a","ENSMUSG00000041219.16",161.783265718031,-2.93563347411572,0.628375257705202,-4.6717839986834,2.98594877594416e-06,0.00494074990792893,"MOUSE|MGI=MGI=2444300|UniProtKB=Q80Y19","Rho GTPase-activating protein 11A;Arhgap11a;PTN000402541;orthologs","RHO GTPASE-ACTIVATING PROTEIN 11A (PTHR15670:SF4)","GTPase-activating protein(PC00257)","Mus musculus"
"2","Cyp51","ENSMUSG00000001467.6",1186.5871794517,1.08731572771849,0.255237785623947,4.26001081720903,2.04417010315245e-05,0.0184495643491796,"MOUSE|MGI=MGI=106040|UniProtKB=Q8K0C4","Lanosterol 14-alpha demethylase;Cyp51a1;PTN000669486;orthologs","LANOSTEROL 14-ALPHA DEMETHYLASE (PTHR24286:SF24)","oxygenase(PC00177)","Mus musculus"
"3","Dpysl3","ENSMUSG00000024501.21",14338.585664847,-0.654052427771159,0.158016091108496,-4.139150786372,3.48593785611238e-05,0.0256358452114694,"MOUSE|MGI=MGI=1349762|UniProtKB=Q62188","Dihydropyrimidinase-related protein 3;Dpysl3;PTN000182494;orthologs","DIHYDROPYRIMIDINASE-RELATED PROTEIN 3 (PTHR11647:SF57)","hydrolase(PC00121)","Mus musculus"
"4","ENSMUSG00000138717","ENSMUSG00000138717.1",12.7989046568008,28.4474991214461,7.15364411227966,3.97664444511774,6.98945500387223e-05,0.0462608728522957,NA,NA,NA,NA,NA
"5","ENSMUSG00000139722","ENSMUSG00000139722.1",112.693404900786,-25.2953349055322,4.22573876106373,-5.98601483333642,2.15044764983341e-09,1.4233096178364e-05,NA,NA,NA,NA,NA
"6","Erhrt-ps","ENSMUSG00000063412.5",22.3066223259623,-26.7102995690033,6.11111389728978,-4.37077430038556,1.2380671570622e-05,0.0122915307353135,NA,NA,NA,NA,NA
"7","Fdft1","ENSMUSG00000021273.12",985.460286267102,1.17215096290025,0.232542561960463,5.04058677696833,4.64106620163174e-07,0.00102392233888444,"MOUSE|MGI=MGI=102706|UniProtKB=P53798","Squalene synthase;Fdft1;PTN000179309;orthologs","SQUALENE SYNTHASE (PTHR11626:SF2)","transferase(PC00220)","Mus musculus"
"8","Fdps","ENSMUSG00000059743.13",639.681587551411,1.36191130802442,0.282971951035561,4.81288446802019,1.48767300271188e-06,0.0029539235141847,"MOUSE|MGI=MGI=104888|UniProtKB=Q920E5","Farnesyl pyrophosphate synthase;Fdps;PTN000162970;orthologs","FARNESYL PYROPHOSPHATE SYNTHASE (PTHR11525:SF0)","acyltransferase(PC00042)","Mus musculus"
"9","Gm28706","ENSMUSG00000102063.3",11.0378424158181,7.05183950315978,1.66048301772985,4.24686035801848,2.1678697955652e-05,0.0187153142003228,NA,NA,NA,NA,NA
"10","Gm42429","ENSMUSG00000105373.2",38.4993167630087,40.5688555519462,4.5583314159975,8.89993549165151,5.58791549132032e-19,1.10953649995656e-14,NA,NA,NA,NA,NA
"11","Gm43980","ENSMUSG00000107962.2",73.8766590525533,3.96930815079212,0.891147931174499,4.45415178775169,8.42255011050027e-06,0.00983753852906432,NA,NA,NA,NA,NA
"12","Gm4459","ENSMUSG00000083626.2",18.2802026281607,34.0675102530882,6.01471044409912,5.6640316387152,1.47857126163539e-08,7.33962774275808e-05,NA,NA,NA,NA,NA
"13","Gm45140","ENSMUSG00000107928.2",22.3463191097503,22.0447299692769,4.3300701924149,5.09107912566712,3.56031403732659e-07,0.000883669944064461,NA,NA,NA,NA,NA
"14","Gm47414","ENSMUSG00000114424.3",7.21492656956332,22.816837737237,3.53544311095607,6.4537420122896,1.0912151522139e-10,1.08335840311796e-06,NA,NA,NA,NA,NA
"15","Gm49378","ENSMUSG00000115232.2",47.7423799899389,24.9092225275976,4.88972368560656,5.09419839017093,3.50219885834435e-07,0.000883669944064461,NA,NA,NA,NA,NA
"16","Gm49601","ENSMUSG00000116594.3",171.366240678431,9.27095506962084,2.33839366392428,3.96466823043917,7.34980978605982e-05,0.0470767171329045,NA,NA,NA,NA,NA
"17","Gm49749","ENSMUSG00000113622.2",20.9810893976543,24.388131220831,5.33149844924958,4.57434836622032,4.77704430071768e-06,0.00677521368821787,NA,NA,NA,NA,NA
"18","Gm6145","ENSMUSG00000110080.4",174.949904206922,2.36163014267598,0.524205216921003,4.50516337198505,6.63218980101312e-06,0.00823054754305728,NA,NA,NA,NA,NA
"19","Gm9830","ENSMUSG00000094437.3",14.1273614490047,45.1939995379882,9.73001807050963,4.64480119260673,3.40404096386311e-06,0.00519927979834353,NA,NA,NA,NA,NA
"20","H2ac18","ENSMUSG00000064220.7",29.2537473599186,-24.6046064217924,5.25571005657141,-4.68149996041512,2.84783452251391e-06,0.00494074990792893,NA,NA,NA,NA,NA
"21","Hyal1","ENSMUSG00000010051.16",48.7857247451876,3.76860781617749,0.892731452041717,4.22143502120208,2.42751935603023e-05,0.0200836768055568,"MOUSE|MGI=MGI=96298|UniProtKB=Q91ZJ9","Hyaluronidase-1;Hyal1;PTN000206085;orthologs","HYALURONIDASE-1 (PTHR11769:SF23)","glycosidase(PC00110)","Mus musculus"
"22","Lrp1b","ENSMUSG00000049252.18",441.596929127648,2.03573677827021,0.509546338754846,3.99519459455807,6.46411368080891e-05,0.0442591176710834,"MOUSE|MGI=MGI=2151136|UniProtKB=Q9JI18","Low-density lipoprotein receptor-related protein 1B;Lrp1b;PTN000056443;orthologs","LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 1B (PTHR22722:SF5)","","Mus musculus"
"23","Lrrc58","ENSMUSG00000034158.10",1475.27927254533,-0.637292102165656,0.153192864697537,-4.16006387388813,3.18158604132343e-05,0.0242975278601992,"MOUSE|MGI=MGI=2443542|UniProtKB=Q3UGP9","Leucine-rich repeat-containing protein 58;Lrrc58;PTN002546599;orthologs","LEUCINE-RICH REPEAT-CONTAINING PROTEIN 58 (PTHR45752:SF13)","scaffold/adaptor protein(PC00226)","Mus musculus"
"24","Msmo1","ENSMUSG00000031604.11",689.842572948566,1.34821302605784,0.306574338884867,4.3976708258161,1.09418758516224e-05,0.012070104828323,"MOUSE|MGI=MGI=1913484|UniProtKB=Q9CRA4","Methylsterol monooxygenase 1;Msmo1;PTN000221365;orthologs","METHYLSTEROL MONOOXYGENASE 1 (PTHR11863:SF225)","oxidase(PC00175)","Mus musculus"
"25","Nif3l1","ENSMUSG00000026036.18",256.561684163274,1.67390695878914,0.314377133905937,5.32451879687274,1.01220635365651e-07,0.000334972822636727,"MOUSE|MGI=MGI=1929485|UniProtKB=Q9EQ80","NIF3-like protein 1;Nif3l1;PTN000351116;orthologs","NIF3-LIKE PROTEIN 1 (PTHR13799:SF13)","","Mus musculus"
"26","Padi2","ENSMUSG00000028927.7",170.550059552958,2.35490492375496,0.562030016543622,4.18999849552018,2.78956304100593e-05,0.0221558254968855,"MOUSE|MGI=MGI=1338892|UniProtKB=Q08642","Protein-arginine deiminase type-2;Padi2;PTN000089799;orthologs","PROTEIN-ARGININE DEIMINASE TYPE-2 (PTHR10837:SF12)","chromatin/chromatin-binding, or -regulatory protein(PC00077)","Mus musculus"
"27","Rapgef3","ENSMUSG00000022469.18",222.972177100142,2.41437057784278,0.597933824317415,4.03785582894389,5.39419862736734e-05,0.0382525742660736,"MOUSE|MGI=MGI=2441741|UniProtKB=Q8VCC8","Rap guanine nucleotide exchange factor 3;Rapgef3;PTN000561171;orthologs","RAP GUANINE NUCLEOTIDE EXCHANGE FACTOR 3 (PTHR23113:SF24)","guanyl-nucleotide exchange factor(PC00113)","Mus musculus"
"28","Slc35d2","ENSMUSG00000033114.12",7.25471066114675,17.8486674318751,3.34011175817412,5.3437336005883,9.10513560316679e-08,0.000334972822636727,"MOUSE|MGI=MGI=1917734|UniProtKB=Q762D5","UDP-N-acetylglucosamine_UDP-glucose_GDP-mannose transporter;Slc35d2;PTN000123252;orthologs","UDP-N-ACETYLGLUCOSAMINE_UDP-GLUCOSE_GDP-MANNOSE TRANSPORTER (PTHR11132:SF262)","secondary carrier transporter(PC00258)","Mus musculus"
"29","Sqle","ENSMUSG00000022351.15",1148.49766207746,0.877806327278468,0.201867284387298,4.34843283270374,1.37113797052499e-05,0.0129644359727354,"MOUSE|MGI=MGI=109296|UniProtKB=P52019","Squalene monooxygenase;Sqle;PTN000089432;orthologs","SQUALENE MONOOXYGENASE (PTHR10835:SF0)","oxygenase(PC00177)","Mus musculus"
"30","Tnfaip2","ENSMUSG00000021281.16",5.7773821608313,-19.8409986810686,4.53066287985486,-4.37927058516969,1.19077204403235e-05,0.0122915307353135,"MOUSE|MGI=MGI=104960|UniProtKB=Q61333","Tumor necrosis factor alpha-induced protein 2;Tnfaip2;PTN000480244;orthologs","TUMOR NECROSIS FACTOR ALPHA-INDUCED PROTEIN 2 (PTHR21292:SF4)","membrane traffic protein(PC00150)","Mus musculus"
"31","Ube2srt","ENSMUSG00000118653.2",6.3197627130387,-22.7782536597725,5.05107803341795,-4.50958260970658,6.49552974428822e-06,0.00823054754305728,NA,NA,NA,NA,NA
